key,avg_returns,SD,sharpe
TROW,0.010471576522295706,0.06597131127374849,0.146299601083362
FDX,0.010386968630061751,0.08628847875732144,0.11087191207725411
BDX,0.010346826991490586,0.06065508998284722,0.15706558170443236
WMT,0.010334134210689246,0.051443865869020576,0.18494205382839715
UPS,0.010300840910002896,0.07510927474184717,0.12622729939263602
TEL,0.010257901184272165,0.06881125086576738,0.13715636709879064
TFC,0.010055508103624914,0.11359526088286795,0.08130187854533799
ATO,0.009997620909127989,0.04389314804699609,0.20909005886981663
AEP,0.009780257374693605,0.05068653820306366,0.17677785250980146
SYY,0.009741397333707097,0.07191330718245637,0.12405767003695138
APA,0.00973034254913737,0.30534940434275565,0.029180808681504692
UNP,0.00966545106413941,0.06532887895516078,0.13539878849307344
TSN,0.009597885358539143,0.07840929590470408,0.11194954956880979
DTE,0.009524125379973106,0.05015831665514891,0.17353304417722323
CI,0.00942510422882285,0.07086328307071187,0.12143248034720791
AKAM,0.009424617346399553,0.08519862039943317,0.10099479670044986
CBRE,0.00939037725614647,0.08581196128188052,0.0998739234964454
NRG,0.009371248364696536,0.11167511563424577,0.07657254990183551
PEG,0.009360131556726367,0.05289324210532714,0.16145978610500505
AMP,0.00934436485178121,0.09437261662497382,0.09032667691790384
GLW,0.00933125238074421,0.07165205086827768,0.11878588648343037
BA,0.00932819898298885,0.10276366753917208,0.08279384325929826
BAC,0.00928536536171057,0.08621376361525414,0.0981904165498322
